,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zip,city
0,2016,Chicago,1.4676,51996,4,0.8,200000,0.04,36053,Midway
1,2016,Chicago,1.4676,51996,4,0.8,200000,0.04,36029,Fitzpatrick
2,2016,Chicago,1.4676,51996,4,0.8,200000,0.04,36089,Union Springs
3,2016,Atlanta,1.4135,164484,4,0.99,287100,0.035,36053,Midway
4,2016,Atlanta,1.4135,164484,4,0.99,287100,0.035,36029,Fitzpatrick
5,2016,Atlanta,1.4135,164484,4,0.99,287100,0.035,36089,Union Springs
6,2016,Atlanta,1.4865,60768,4,1.02,279552,0.0325,36053,Midway
7,2016,Atlanta,1.4865,60768,4,1.02,279552,0.0325,36029,Fitzpatrick
8,2016,Atlanta,1.4865,60768,4,1.02,279552,0.0325,36089,Union Springs
9,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36346,Jack
10,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36311,Ariton
11,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36453,Kinston
12,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36323,Elba
13,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36351,New Brockton
14,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36330,Enterprise
15,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36010,Brundidge
16,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36035,Goshen
17,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36034,Glenwood
18,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36005,Banks
19,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36079,Troy
20,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36081,Troy
21,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36082,Troy
22,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36010,Brundidge
23,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36035,Goshen
24,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36034,Glenwood
25,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36005,Banks
26,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36079,Troy
27,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36081,Troy
28,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36082,Troy
29,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36010,Brundidge
30,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36035,Goshen
31,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36034,Glenwood
32,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36005,Banks
33,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36079,Troy
34,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36081,Troy
35,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36082,Troy
36,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36010,Brundidge
37,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36035,Goshen
38,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36034,Glenwood
39,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36005,Banks
40,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36079,Troy
41,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36081,Troy
42,2018,Boston,1.1064,233706,5,0.55,196000,0.0463,36082,Troy
43,2018,Boston,1.2779,53988,4,0.9,171900,0.0463,36010,Brundidge
44,2018,Boston,1.2779,53988,4,0.9,171900,0.0463,36035,Goshen
45,2018,Boston,1.2779,53988,4,0.9,171900,0.0463,36034,Glenwood
