zip,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zipcode,city,state,metro,countyname,avghomevalue2016,avghomevalue2018
36346,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36346,Jack,AL,Enterprise,Coffee County,88071,99288
36311,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36311,Ariton,AL,Ozark,Dale County,68632,75719
36453,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36453,Kinston,AL,Enterprise,Coffee County,77326,84692
36323,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36323,Elba,AL,Enterprise,Coffee County,74678,80321
36351,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36351,New Brockton,AL,Enterprise,Coffee County,100466,108224
36330,2016,Atlanta,1.1127,133020,5,0.76,223000,0.0263,36330,Enterprise,AL,Enterprise,Coffee County,127582,134040
36010,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Chicago,1.4924,118500,5,0.85,230350,0.0475,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.4843,220488,4,0.9,391000,0.0413,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,0.9612,86450,4,0.99,260200,0.045,36010,Brundidge,AL,Troy,Pike County,79930,76607
