,zip,city,state_id,state_name,county_fips,county_name
0,601,Adjuntas,PR,Puerto Rico,72001,Adjuntas
1,602,Aguada,PR,Puerto Rico,72003,Aguada
2,603,Aguadilla,PR,Puerto Rico,72005,Aguadilla
3,606,Maricao,PR,Puerto Rico,72093,Maricao
4,610,Anasco,PR,Puerto Rico,72011,Añasco
5,612,Arecibo,PR,Puerto Rico,72013,Arecibo
6,616,Bajadero,PR,Puerto Rico,72013,Arecibo
7,617,Barceloneta,PR,Puerto Rico,72017,Barceloneta
8,622,Boqueron,PR,Puerto Rico,72023,Cabo Rojo
9,623,Cabo Rojo,PR,Puerto Rico,72023,Cabo Rojo
10,624,Penuelas,PR,Puerto Rico,72111,Peñuelas
11,627,Camuy,PR,Puerto Rico,72027,Camuy
12,631,Castaner,PR,Puerto Rico,72081,Lares
13,637,Sabana Grande,PR,Puerto Rico,72121,Sabana Grande
14,638,Ciales,PR,Puerto Rico,72039,Ciales
15,641,Utuado,PR,Puerto Rico,72141,Utuado
16,646,Dorado,PR,Puerto Rico,72051,Dorado
17,647,Ensenada,PR,Puerto Rico,72055,Guánica
18,650,Florida,PR,Puerto Rico,72054,Florida
19,652,Garrochales,PR,Puerto Rico,72013,Arecibo
20,653,Guanica,PR,Puerto Rico,72055,Guánica
21,656,Guayanilla,PR,Puerto Rico,72059,Guayanilla
22,659,Hatillo,PR,Puerto Rico,72065,Hatillo
23,660,Hormigueros,PR,Puerto Rico,72067,Hormigueros
24,662,Isabela,PR,Puerto Rico,72071,Isabela
25,664,Jayuya,PR,Puerto Rico,72073,Jayuya
26,667,Lajas,PR,Puerto Rico,72079,Lajas
27,669,Lares,PR,Puerto Rico,72081,Lares
28,670,Las Marias,PR,Puerto Rico,72083,Las Marías
29,674,Manati,PR,Puerto Rico,72091,Manatí
30,676,Moca,PR,Puerto Rico,72099,Moca
31,677,Rincon,PR,Puerto Rico,72117,Rincón
32,678,Quebradillas,PR,Puerto Rico,72115,Quebradillas
33,680,Mayaguez,PR,Puerto Rico,72097,Mayagüez
34,682,Mayaguez,PR,Puerto Rico,72097,Mayagüez
35,683,San German,PR,Puerto Rico,72125,San Germán
36,685,San Sebastian,PR,Puerto Rico,72131,San Sebastián
37,687,Morovis,PR,Puerto Rico,72101,Morovis
38,688,Sabana Hoyos,PR,Puerto Rico,72013,Arecibo
39,690,San Antonio,PR,Puerto Rico,72005,Aguadilla
