,bank,ltv,amount,rate,zip,city
0,Boston,0.8,254400,0.0463,36010,Brundidge
1,Boston,0.8,254400,0.0463,36035,Goshen
2,Boston,0.8,254400,0.0463,36034,Glenwood
3,Boston,0.8,254400,0.0463,36005,Banks
4,Boston,0.8,254400,0.0463,36079,Troy
5,Boston,0.8,254400,0.0463,36081,Troy
6,Boston,0.8,254400,0.0463,36082,Troy
7,Boston,0.9,211500,0.0475,36010,Brundidge
8,Boston,0.9,211500,0.0475,36035,Goshen
9,Boston,0.9,211500,0.0475,36034,Glenwood
10,Boston,0.9,211500,0.0475,36005,Banks
11,Boston,0.9,211500,0.0475,36079,Troy
12,Boston,0.9,211500,0.0475,36081,Troy
13,Boston,0.9,211500,0.0475,36082,Troy
14,Boston,0.72,227100,0.04,36010,Brundidge
15,Boston,0.72,227100,0.04,36035,Goshen
16,Boston,0.72,227100,0.04,36034,Glenwood
17,Boston,0.72,227100,0.04,36005,Banks
18,Boston,0.72,227100,0.04,36079,Troy
19,Boston,0.72,227100,0.04,36081,Troy
20,Boston,0.72,227100,0.04,36082,Troy
21,Boston,0.51,105000,0.0463,36010,Brundidge
22,Boston,0.51,105000,0.0463,36035,Goshen
23,Boston,0.51,105000,0.0463,36034,Glenwood
24,Boston,0.51,105000,0.0463,36005,Banks
25,Boston,0.51,105000,0.0463,36079,Troy
26,Boston,0.51,105000,0.0463,36081,Troy
27,Boston,0.51,105000,0.0463,36082,Troy
28,Boston,0.8,304000,0.0438,36010,Brundidge
29,Boston,0.8,304000,0.0438,36035,Goshen
30,Boston,0.8,304000,0.0438,36034,Glenwood
31,Boston,0.8,304000,0.0438,36005,Banks
32,Boston,0.8,304000,0.0438,36079,Troy
33,Boston,0.8,304000,0.0438,36081,Troy
34,Boston,0.8,304000,0.0438,36082,Troy
35,Boston,0.8,101600,0.0488,36010,Brundidge
36,Boston,0.8,101600,0.0488,36035,Goshen
37,Boston,0.8,101600,0.0488,36034,Glenwood
38,Boston,0.8,101600,0.0488,36005,Banks
39,Boston,0.8,101600,0.0488,36079,Troy
40,Boston,0.8,101600,0.0488,36081,Troy
41,Boston,0.8,101600,0.0488,36082,Troy
42,Boston,0.99,260200,0.045,36010,Brundidge
43,Boston,0.99,260200,0.045,36035,Goshen
44,Boston,0.99,260200,0.045,36034,Glenwood
45,Boston,0.99,260200,0.045,36005,Banks
46,Boston,0.99,260200,0.045,36079,Troy
47,Boston,0.99,260200,0.045,36081,Troy
48,Boston,0.99,260200,0.045,36082,Troy
49,Boston,0.74,280000,0.0375,36010,Brundidge
50,Boston,0.74,280000,0.0375,36035,Goshen
51,Boston,0.74,280000,0.0375,36034,Glenwood
52,Boston,0.74,280000,0.0375,36005,Banks
53,Boston,0.74,280000,0.0375,36079,Troy
54,Boston,0.74,280000,0.0375,36081,Troy
55,Boston,0.74,280000,0.0375,36082,Troy
56,Boston,0.75,450000,0.045,36010,Brundidge
57,Boston,0.75,450000,0.045,36035,Goshen
58,Boston,0.75,450000,0.045,36034,Glenwood
59,Boston,0.75,450000,0.045,36005,Banks
60,Boston,0.75,450000,0.045,36079,Troy
61,Boston,0.75,450000,0.045,36081,Troy
62,Boston,0.75,450000,0.045,36082,Troy
63,Boston,0.95,161500,0.0488,36010,Brundidge
64,Boston,0.95,161500,0.0488,36035,Goshen
65,Boston,0.95,161500,0.0488,36034,Glenwood
66,Boston,0.95,161500,0.0488,36005,Banks
67,Boston,0.95,161500,0.0488,36079,Troy
68,Boston,0.95,161500,0.0488,36081,Troy
69,Boston,0.95,161500,0.0488,36082,Troy
70,Boston,0.95,88300,0.0463,36010,Brundidge
71,Boston,0.95,88300,0.0463,36035,Goshen
72,Boston,0.95,88300,0.0463,36034,Glenwood
73,Boston,0.95,88300,0.0463,36005,Banks
74,Boston,0.95,88300,0.0463,36079,Troy
75,Boston,0.95,88300,0.0463,36081,Troy
76,Boston,0.95,88300,0.0463,36082,Troy
77,Boston,0.76,285000,0.0425,36010,Brundidge
78,Boston,0.76,285000,0.0425,36035,Goshen
79,Boston,0.76,285000,0.0425,36034,Glenwood
80,Boston,0.76,285000,0.0425,36005,Banks
81,Boston,0.76,285000,0.0425,36079,Troy
82,Boston,0.76,285000,0.0425,36081,Troy
83,Boston,0.76,285000,0.0425,36082,Troy
84,Dallas,0.8,410000,0.0525,36010,Brundidge
85,Dallas,0.8,410000,0.0525,36035,Goshen
86,Dallas,0.8,410000,0.0525,36034,Glenwood
87,Dallas,0.8,410000,0.0525,36005,Banks
